Total allocated: 47845126 bytes (355066 objects)
Total retained:  14703815 bytes (111603 objects)

allocated memory by gem
-----------------------------------
     28231  ruby-3.1.2/lib
     14834  tzinfo-2.0.5
     14114  actionpack-7.0.4
     12277  debug-1.5.0
     11768  sprockets-4.1.1
      8628  railties-7.0.4
      7488  activerecord-7.0.4
      6909  msgpack-1.5.6
      5429  marcel-1.0.2
      4372  other
      3821  ffi-1.15.5
      3596  actionview-7.0.4
      3584  activemodel-7.0.4
      3020  nokogiri-1.13.8-x86_64-linux
      2543  concurrent-ruby-1.1.10
      2364  rake-13.0.6
      2350  reline-0.3.1
      2099  loofah-2.18.0
      1948  mail-2.7.1
      1887  zeitwerk-2.6.0
      1394  sassc-2.4.0
      1147  3.1.0
      1144  faker-2.21.0
       945  rack-2.2.4
       545  sqlite3-1.4.2
       514  sprockets-rails-3.4.2
       499  tilt-2.0.11
       459  ruby-3.1.2
       368  activejob-7.0.4
       321  activestorage-7.0.4
       306  i18n-1.12.0
       265  actioncable-7.0.4
       230  importmap-rails-1.1.0
       186  rails-html-sanitizer-1.4.3
       164  rack-test-2.0.2
       163  puma-5.6.4
       142  sassc-rails-2.1.2
       141  will_paginate-3.3.1
       129  globalid-1.0.0
        91  actionmailbox-7.0.4
        91  net-smtp-0.3.1
        86  jbuilder-2.11.5
        86  net-protocol-0.1.3
        84  turbo-rails-1.1.1
        78  crass-1.0.6
        68  actiontext-7.0.4

allocated objects by file
-----------------------------------
     49096  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb
     13926  /usr/share/rvm/gems/ruby-3.1.2/gems/tzinfo-2.0.5/lib/tzinfo/data_sources/zoneinfo_data_source.rb
     11097  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/specification.rb
     10165  <internal:/usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/core_ext/kernel_require.rb>
      8138  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/delegation.rb
      7706  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb
      7613  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb
      7278  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/requirement.rb
      6789  /usr/share/rvm/gems/ruby-3.1.2/gems/msgpack-1.5.6/lib/msgpack.rb
      6664  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb
      6280  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb
      6044  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb
      5930  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/uri/common.rb
      5874  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb
      5300  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/core_ext/kernel_require.rb
      5062  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/transformers.rb
      4850  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb
      4653  /usr/share/rvm/gems/ruby-3.1.2/gems/actionpack-7.0.4/lib/action_dispatch/routing/mapper.rb
      4598  /usr/share/rvm/gems/ruby-3.1.2/gems/marcel-1.0.2/lib/marcel/tables.rb
      4451  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb
      4451  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/session.rb
      4078  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/lockfile_parser.rb
      3869  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable/impl.rb
      3752  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/loaded_features_index.rb
      3574  /usr/share/rvm/gems/ruby-3.1.2/gems/railties-7.0.4/lib/rails/paths.rb
      3412  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/attribute_accessors.rb
      3323  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/class/attribute.rb
      3048  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/gem_helpers.rb
      2969  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/platform.rb
      2799  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/utils.rb
      2583  /usr/share/rvm/gems/ruby-3.1.2/gems/activemodel-7.0.4/lib/active_model/attribute_methods.rb
      2481  /usr/share/rvm/gems/ruby-3.1.2/gems/railties-7.0.4/lib/rails/initializable.rb
      2471  /usr/share/rvm/gems/ruby-3.1.2/gems/actionview-7.0.4/lib/action_view/ripper_ast_parser.rb
      2334  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendored_fileutils.rb
      2306  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/dependencies/autoload.rb
      2236  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets.rb
      2233  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler.rb
      2168  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/delegate.rb
      2125  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/callbacks.rb
      1980  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/gems/3.1.0/gems/rake-13.0.6/lib/rake/file_list.rb
      1871  /usr/share/rvm/gems/ruby-3.1.2/gems/loofah-2.18.0/lib/loofah/metahelpers.rb
      1766  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/code_generator.rb
      1747  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/setup.rb
      1732  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/index.rb
      1617  /usr/share/rvm/gems/ruby-3.1.2/gems/actionpack-7.0.4/lib/action_dispatch/journey/visitors.rb
      1584  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/thor/lib/thor/base.rb
      1569  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/ripper/sexp.rb
      1560  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/set.rb
      1544  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache.rb
      1464  /usr/share/rvm/gems/ruby-3.1.2/gems/ffi-1.15.5/lib/ffi/types.rb

allocated objects by location
-----------------------------------
     47234  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb:49
     10151  <internal:/usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/core_ext/kernel_require.rb>:85
      7781  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/specification.rb:1123
      6062  /usr/share/rvm/gems/ruby-3.1.2/gems/msgpack-1.5.6/lib/msgpack.rb:31
      4704  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/core_ext/kernel_require.rb:30
      4014  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb:100
      3560  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/module/delegation.rb:238
      2596  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb:222
      2444  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/platform.rb:130
      2334  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendored_fileutils.rb:4
      2314  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb:491
      2301  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/core_ext/class/attribute.rb:127
      2255  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb:118
      2158  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb:190
      2158  /usr/share/rvm/gems/ruby-3.1.2/gems/debug-1.5.0/lib/debug/thread_client.rb:752
      2149  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/forwardable/impl.rb:12
      2055  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/requirement.rb:193
      1975  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/stub_specification.rb:36
      1926  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb:96
      1848  /usr/share/rvm/gems/ruby-3.1.2/gems/tzinfo-2.0.5/lib/tzinfo/data_sources/zoneinfo_data_source.rb:449
      1830  /usr/share/rvm/gems/ruby-3.1.2/gems/loofah-2.18.0/lib/loofah/metahelpers.rb:9
      1814  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/compile_cache/iseq.rb:60
      1808  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/dependencies/autoload.rb:39
      1683  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/settings.rb:99
      1500  /usr/share/rvm/gems/ruby-3.1.2/gems/activesupport-7.0.4/lib/active_support/inflector/methods.rb:98
      1470  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri.rb:95
      1470  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/gems/3.1.0/gems/rake-13.0.6/lib/rake/file_list.rb:76
      1461  (eval):3
      1410  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb:400
      1405  /usr/share/rvm/gems/ruby-3.1.2/gems/actionview-7.0.4/lib/action_view/ripper_ast_parser.rb:129
      1405  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/cache.rb:206
      1397  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets.rb:32
      1376  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb:287
      1376  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb:288
      1365  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/specification.rb:1964
      1358  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/rubygems/version.rb:167
      1320  /usr/share/rvm/gems/ruby-3.1.2/gems/sprockets-4.1.1/lib/sprockets/transformers.rb:155
      1316  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb:289
      1283  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/loaded_features_index.rb:115
      1283  /usr/share/rvm/gems/ruby-3.1.2/gems/bootsnap-1.12.0/lib/bootsnap/load_path_cache/loaded_features_index.rb:118
      1280  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb:286
      1280  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/uri/common.rb:303
      1280  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/uri/common.rb:304
      1280  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/uri/common.rb:305
      1280  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/uri/common.rb:306
      1232  /usr/share/rvm/gems/ruby-3.1.2/gems/tzinfo-2.0.5/lib/tzinfo/data_sources/zoneinfo_data_source.rb:448
      1226  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/gem_helpers.rb:102
      1209  /usr/share/rvm/gems/ruby-3.1.2/gems/bundler-2.3.14/lib/bundler/vendor/uri/lib/uri/common.rb:279
      1200  /usr/share/rvm/rubies/ruby-3.1.2/lib/ruby/3.1.0/x86_64-linux/openssl.so:0
